month,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,,0.96,,,2.24,,,,,0.92,,0.64,,0.66,,,1.5,,,,,,2.48,,,0.75,,,
2,,,0.72,,,1.93,,,,,0.63,,0.58,,,,,1.22,,,,,,2.14,,,0.72,,,
3,,,0.53,,,1.44,,,,,,,,,,,,0.84,,,,,0.53,1.58,,,0.71,,,
4,,,,,,0.99,,,,,,,,,,,,,,,,,0.7,0.94,,,0.66,,,
5,,,,,0.75,,,,,,,,,,,,,,,,,,0.93,,,,0.54,,,
6,,,,,1.22,,,,,0.65,,,,,,,,,,,,,1.18,,,,,,,
7,,,,,1.6,,,,,0.79,,,,,,,,,,,,,1.52,,,,,,,
8,,,,,1.9,,,,,0.86,,0.64,,,,,0.58,,,,,,1.86,,,,,,,
9,,0.55,,,2.14,,,,,1.01,,0.7,,0.54,,,0.71,,,,,,2.16,,,,,,,
10,,0.74,,,2.33,,,,,1.21,,0.67,,0.77,,,1.01,,,,,,2.42,,,0.76,,,,
11,,1.01,,,2.4,,,,,1.31,,0.66,,0.94,,,1.36,,,,,,2.57,,,0.9,,,,
12,,1.09,,,2.39,,,,,1.14,,0.69,,0.94,,,1.56,,,,,,2.64,,,0.81,,,,
