month,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,,,-0.9,,,-1.55,-1.66,-0.68,,,,,-0.85,,-1.64,-0.85,,-1.42,-0.86,,,,,,-0.92,,,-1.05,-0.97
2,,,,-0.75,,,-1.3,-1.41,-0.52,,,,,-0.77,,-1.52,-0.79,,-1.19,-0.72,,,,,,-0.85,,,-0.93,-0.93
3,,,,-0.59,,,-1.07,-1.07,,,,,,-0.57,,-1.29,-0.61,,-0.93,-0.59,,,,,,-0.7,,,-0.84,-0.99
4,,,,,,,-0.98,-0.81,,,,,,,,-1.01,,,-0.73,,,,,,,-0.5,,,-0.66,-1.06
5,,,,,,,-1.02,-0.71,,,,,,,,-0.84,,,-0.55,,,,,,,,,,,-0.99
6,,,,,,,-1.04,-0.64,,,,,,,,-0.61,,-0.66,,,,,,,,,,,,-0.85
7,,,,,,-0.78,-1.1,-0.55,,,,,,,-0.56,,,-1.05,,,,,,,,,,,,-0.81
8,,,-0.54,,,-1.12,-1.11,-0.51,,,,,,,-0.81,,,-1.35,-0.62,,,,,-0.54,,,,-0.57,,-0.91
9,,,-0.81,,,-1.31,-1.16,-0.55,,,,,,,-1.07,,,-1.56,-0.83,,,,,-0.63,,,,-0.89,-0.67,-1.01
10,,,-0.97,,,-1.35,-1.26,-0.63,,,,,,,-1.34,,,-1.64,-1.01,,,,,-0.69,-0.65,,,-1.17,-0.81,-0.99
11,,,-1.0,,,-1.48,-1.46,-0.75,,,,,-0.57,,-1.5,-0.55,,-1.64,-1.09,,,,,-0.67,-0.84,,,-1.27,-0.98,-0.92
12,,,-0.98,,,-1.57,-1.65,-0.74,,,,,-0.84,,-1.6,-0.73,,-1.59,-1.04,,,,,-0.56,-0.97,,,-1.19,-0.98,-0.82
